Restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link
239,Shanthi Sagar,4,"South Indian, Chinese, North Indian, Street Food",11700,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/shanthi-sagar-new-bel-road/order
240,Glen's Bakehouse,4.1,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",5548,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/glens-bakehouse-whitefield/order
241,ZAZA 22 Spice Awadhi Biryani,3.9,"Biryani, Mughlai, North Indian",2078,"Kammanahalli, Bangalore",77.6377094,13.0093455,https://www.zomato.com/bangalore/zaza-22-spice-awadhi-biryani-kammanahalli-bangalore/order
242,Onesta,3.6,"Pizza, Fast Food, Pasta, Desserts, Beverages",3573,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/onesta-1-electronic-city-bangalore/order
243,RNR Biryani - Taste Of 1953,4.2,"Biryani, South Indian, Andhra",676,"Koramangala 4th Block, Bangalore",77.6294052,12.9327778,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-koramangala-4th-block-bangalore/order
244,Burger King,4,"Burger, Fast Food, Beverages, Desserts",26500,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/burger-king-electronic-city/order
245,Burger King,4.1,"Burger, Fast Food, Beverages, Desserts",24300,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/burger-king-rajajinagar/order
246,Mumbai Tiffin,4.4,North Indian,42800,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/MumbaiTiffin/order
247,Big Bowl Company,3.7,"North Indian, Chinese, Biryani, Fast Food, Momos, Sichuan",1198,"Hosur Road, Bangalore",77.6052566,12.9527111,https://www.zomato.com/bangalore/big-bowl-company-hosur-road-bangalore/order
248,Wendy's,3.7,"Burger, Fast Food, American",1111,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/wendys-marathahalli-bangalore/order
249,Kairali Restaurant,4,"Kerala, South Indian, Seafood, Biryani, Chinese, Beverages",7584,"Bellandur, Bangalore",77.6782471,12.93103185,https://www.zomato.com/bangalore/kairali-restaurant-bellandur/order
250,Sri Udupi Food Hub,4.1,"South Indian, North Indian, Chinese, Sandwich, Desserts, Shake, Beverages, Sichuan",1848,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/sri-udupi-food-hub-3-jayanagar-bangalore/order
251,Andhra Gunpowder,4.1,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",5995,"Basaveshwara Nagar, Bangalore",77.5394749,12.9931607,https://www.zomato.com/bangalore/andhra-gunpowder-1-basaveshwara-nagar-bangalore/order
252,Al-Bek,3.3,"Mughlai, Arabian, North Indian, Chinese, Sichuan",1937,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/al-bek-sarjapur-road-bangalore/order
253,KFC,4,"Burger, Fast Food, Biryani, Desserts, Beverages",21800,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/kfc-hsr/order
254,EasyBites by Empire,3.7,"Burger, Fast Food, Beverages",257,"Church Street, Bangalore",77.6026774,12.9755105,https://www.zomato.com/bangalore/easybites-by-empire-church-street-bangalore/order
255,Sardarji Londonwaley,3.6,"North Indian, Chinese",7855,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/sardarji-londonwaley-bannerghatta-road-bangalore/order
256,Andhra Biryanis,4.1,"Biryani, Andhra, Chinese, North Indian, Mughlai",18600,"Nagawara, Bangalore",77.6209093,13.0431413,https://www.zomato.com/bangalore/andhra-biryanis-nagawara/order
257,Andhra Gunpowder,4.2,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",11200,"Jeevan Bhima Nagar, Bangalore",77.6568367,12.9678074,https://www.zomato.com/bangalore/andhra-gunpowder-jeevan-bhima-nagar-bangalore/order
258,Mani's Dum Biryani,4.2,"Biryani, Kebab",4721,"Ulsoor, Bangalore",77.6246697,12.9778793,https://www.zomato.com/bangalore/manis-dum-biryani-ulsoor/order
259,New Shanthi Sagar,4.1,"North Indian, Street Food, Fast Food, South Indian, Chinese, Ice Cream, Shake",6584,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/new-shanthi-sagar-rajajinagar-bangalore/order
260,Nagarjuna,4.3,"Andhra, North Indian, Biryani",1508,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/nagarjuna-koramangala-5th-block/order
261,A2B - Adyar Ananda Bhavan,3.7,"South Indian, Street Food, Mithai",1628,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-jp-nagar-bangalore/order
262,M.M.A Kabab and Rolls,3.7,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani",5809,"Old Madras Road, Bangalore",77.6962756,13.0086263,https://www.zomato.com/bangalore/m-m-a-kabab-and-rolls-old-madras-road-bangalore/order
263,Gopaljee Cafe,3.9,"Street Food, North Indian",3950,"Bellandur, Bangalore",77.6782471,12.93103185,https://www.zomato.com/bangalore/gopaljee-cafe-bellandur-bangalore/order
264,KFC,3.9,"Burger, Fast Food, Biryani, Desserts, Beverages",11800,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/kfc-koramangala-6th-block/order
265,Corner House Ice Creams,4.5,"Ice Cream, Desserts, Shake",6515,"Koramangala 7th Block, Bangalore",77.6134783,12.9364846,https://www.zomato.com/bangalore/corner-house-ice-creams-koramangala-7th-block-bangalore/order
266,Punjabi Nawabi,3.8,"North Indian, Biryani, Mughlai, Chinese, Kebab",63400,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/punjabi-nawabi-hsr/order
267,Empire Restaurant,3.9,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",48100,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/empire-restaurant-jp-nagar/order
268,Potful - Claypot Biryanis,4,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages",11800,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/potful-claypot-biryanis-whitefield-bangalore/order
269,Al-Bek,3.8,"Mughlai, Arabian, North Indian, Chinese",27900,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/al-bek-electronic-city-bangalore/order
270,Great Indian Khichdi by EatFit,4.1,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",602,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-sarjapur-road-bangalore/order
271,Glen's Bakehouse,4.3,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",5108,"Lavelle Road, Bangalore",77.5997248,12.9749487,https://www.zomato.com/bangalore/glens-bakehouse-lavelle-road/order
272,Narmada Chain of Restaurants,4.3,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",0,"Frazer Town, Bangalore",77.6130165,12.996845,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-frazer-town-bangalore/order
273,A2B - Adyar Ananda Bhavan,3.8,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",1519,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-2-new-bel-road-bangalore/order
274,Paakashala,4.2,"South Indian, Street Food, Chinese, Fast Food, Ice Cream, Beverages",5196,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/paakashala-1-jp-nagar-bangalore/order
275,Domino's Pizza,3.8,"Pizza, Fast Food, Desserts, Beverages",13100,"Basavanagudi, Bangalore",77.5755021,12.9417261,https://www.zomato.com/bangalore/dominos-pizza-basavanagudi/order
276,Sabari Juice Junction,3.9,"Beverages, Sandwich, Juices, Shake",3865,"Jeevan Bhima Nagar, Bangalore",77.6568367,12.9678074,https://www.zomato.com/bangalore/sabari-juice-junction-jeevan-bhima-nagar/order
277,Sri Udupi Park,4,"South Indian, North Indian, Chinese, Street Food, Beverages, Ice Cream, Shake",22400,"Old Airport Road, Bangalore",77.6663946,12.9583828,https://www.zomato.com/bangalore/sri-udupi-park-1-airport-road/order
278,Corner House Ice Creams,4.5,"Ice Cream, Desserts, Shake",16900,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/corner-house-ice-creams-indiranagar-bangalore/order
279,Leon's Burgers & Wings,4.3,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages",49000,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/leons-burgers-wings-hsr-bangalore/order
280,Behrouz Biryani,4.4,"Biryani, Kebab, Hyderabadi, Lucknowi",415,"Shanti Nagar, Bangalore",77.5979099,12.9575547,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order
281,Domino's Pizza,3.7,"Pizza, Fast Food, Desserts, Beverages",7121,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/dominos-pizza-2-sarjapur-road/order
282,Onesta,3.4,"Pizza, Pasta, Fast Food, Sandwich, Beverages, Desserts",180,"Ascendas Park Square, Whitefield, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/onesta-whitefield-bangalore/order
283,Hyderabad Magic,4,"North Indian, Chinese, Biryani, Beverages, Sichuan",6062,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/hyderabad-magic-electronic-city-bangalore/order
284,Theobroma,4.3,"Bakery, Desserts, Beverages",2940,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/theobroma-indiranagar-bangalore/order
285,Sharief Bhai,4.1,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",7308,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/sharief-bhai-indiranagar-bangalore/order
286,Natural Ice Cream,4.5,"Ice Cream, Beverages",1184,"Malleshwaram, Bangalore",77.5703253,13.0027353,https://www.zomato.com/bangalore/natural-ice-cream-malleshwaram/order
287,Lassi Shop,3.7,"Beverages, Fast Food, Burger, Shake, Juices, Ice Cream, Desserts",822,"Banaswadi, Bangalore",77.6518539,13.0141618,https://www.zomato.com/bangalore/lassi-shop-3-banaswadi-bangalore/order
288,Subway,3.9,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",4915,"Ascendas Park Square, Whitefield, Bangalore",77.6518539,13.0141618,https://www.zomato.com/bangalore/subway-3-whitefield-bangalore/order
289,Nandhini Deluxe,3.9,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",13700,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/nandhini-deluxe-new-bel-road/order
290,Beijing Bites,4,"Chinese, Thai, Seafood, Healthy Food, Sichuan",2047,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/beijing-bites-3-jp-nagar/order
291,Subway,3.6,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",1337,"Mantri Square, Malleshwaram, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/subway-malleshwaram/order
292,Delhi Base Sri Food Court,3.9,"North Indian, Chinese",34200,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/delhi-base-sri-food-court-electronic-city/order
293,Aramane Donne Biriyani,4.1,"Biryani, North Indian, South Indian, Andhra, Seafood, Chinese",1710,"Koramangala 8th Block, Bangalore",77.617338,12.9408685,https://www.zomato.com/bangalore/aramane-donne-biriyani-koramangala-8th-block-bangalore/order
294,Hotel Kadamba Veg,4,"South Indian, North Indian, Street Food, Chinese, Salad, Mithai, Beverages",7847,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/hotel-kadamba-veg-rajajinagar/order
295,Aaradhya Donne Biryani House,4,"Biryani, South Indian",28,"Church Street, Bangalore",77.6026774,12.9755105,https://www.zomato.com/bangalore/aaradhya-donne-biryani-house-church-street-bangalore/order
296,Priyadarshini Veg,4.2,"North Indian, South Indian, Chinese, Street Food, Shake, Beverages",6593,"Yeshwantpur, Bangalore",77.5529215,13.02383,https://www.zomato.com/bangalore/priyadarshini-veg-yeshwantpur-bangalore/order
297,Biriyani Zone,4,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages",1875,"Nagawara, Bangalore",77.6209093,13.0431413,https://www.zomato.com/bangalore/biriyani-zone-nagawara-bangalore/order
298,Andhra Gunpowder,4.2,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",3083,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/andhra-gunpowder-new-bel-road-bangalore/order
299,Taco Bell,3.8,"Mexican, Fast Food, Wraps, Beverages",1842,"HBR Layout, Bangalore",77.6323597,13.0358698,https://www.zomato.com/bangalore/taco-bell-hbr-layout-bangalore/order
300,Karnataka Biryani Point,3.9,"Biryani, South Indian",2738,"Rajajinagar, Bangalore",77.554883,12.9882338,https://www.zomato.com/bangalore/karnataka-biryani-point-rajajinagar-bangalore/order
301,Truffles,4.3,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",437,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/truffles-whitefield-bangalore/order
302,KFC,3.7,"Burger, Fast Food, Biryani, Desserts, Beverages",14400,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/kfc-marathahalli/order
303,NH1 Bowls - Highway To North,4.1,"North Indian, Kebab, Desserts",280,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-1-whitefield-bangalore/order
304,WOW! Momo,4.2,"Momos, Fast Food, Tibetan",2530,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/wow-momo-koramangala-5th-block-bangalore/order
305,Dindigul Thalappakatti,3.8,"Biryani, BBQ, South Indian, Chinese, North Indian, Mughlai, Beverages, Sichuan",894,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/dindigul-thalappakatti-bannerghatta-road-bangalore/order
306,Truffles,4.3,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",585,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/truffles-kalyan-nagar/order
307,Truffles,4.2,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",2752,"Koramangala 5th Block, Bangalore",77.6189768,12.9348429,https://www.zomato.com/bangalore/truffles-koramangala-5th-block/order
308,Ambur Biryani Point,4,"Biryani, Kebab",508,"Bommanahalli, Bangalore",77.6239038,12.9089453,https://www.zomato.com/bangalore/ambur-biryani-point-bommanahalli-bangalore/order
309,Dindigul Thalappakatti,3.8,"Biryani, BBQ, South Indian, Chinese, North Indian, Sichuan",1109,"Basaveshwara Nagar, Bangalore",77.5394749,12.9931607,https://www.zomato.com/bangalore/dindigul-thalappakatti-basaveshwara-nagar-bangalore/order
310,Kanti Sweets,4.3,"Mithai, Street Food",3565,"Old Airport Road, Bangalore",77.6663946,12.9583828,https://www.zomato.com/bangalore/kanti-sweets-airport-road/order
311,A2B - Adyar Ananda Bhavan,4,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",9996,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-marathahalli-bangalore/order
312,La Pino'z Pizza,3.9,"Pizza, Italian",2947,"Basavanagudi, Bangalore",77.5755021,12.9417261,https://www.zomato.com/bangalore/la-pinoz-pizza-basavanagudi-bangalore/order
313,Kapoor's Cafe,3.9,"North Indian, Beverages, Desserts",11300,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/kapoors-cafe-whitefield/order
314,Mani's Dum Biryani,4.1,"Biryani, Kebab",5619,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/manis-dum-biryani-kalyan-nagar/order
315,Pathaan Sir,3.7,"Rolls, Chinese, Momos",12700,"Koramangala 7th Block, Bangalore",77.6134783,12.9364846,https://www.zomato.com/bangalore/pathaan-sir-koramangala-7th-block/order
316,KFC,3.8,"Burger, Fast Food, Biryani, Desserts, Beverages",2646,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/kfc-jp-nagar-bangalore/order
317,Polar Bear,4.5,"Ice Cream, Beverages, Shake",2905,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/polar-bear-2-whitefield-bangalore/order
318,New Udupi Grand,3.8,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",3851,"Jeevan Bhima Nagar, Bangalore",77.6568367,12.9678074,https://www.zomato.com/bangalore/new-udupi-grand-jeevan-bhima-nagar-bangalore/order
319,Polar Bear,4.4,"Ice Cream, Beverages, Shake",1271,"Thippasandra, Bangalore",77.6509982,12.973936,https://www.zomato.com/bangalore/polar-bear-thippasandra-bangalore/order
320,Leon's Burgers & Wings,4.2,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages",20400,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/leons-burgers-wings-jp-nagar-bangalore/order
321,EatFit,4.1,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages",334,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/eatfit-1-whitefield-bangalore/order
322,Hari Super Sandwich,3.6,"Fast Food, Sandwich, Street Food",1338,"Brigade Road, Bangalore",77.6074716,12.9736132,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order
323,Roti Ghar,4.1,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages",21500,"Basavanagudi, Bangalore",77.5755021,12.9417261,https://www.zomato.com/bangalore/roti-ghar-basavanagudi/order
324,Biryani Paradise,3.8,"Chinese, Biryani, Mughlai, Seafood",12800,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/biryani-paradise-whitefield/order
325,Aroma's Hyderabad House,3.9,"Biryani, Mughlai, North Indian, Chinese, Kebab, Beverages",89,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/aromas-hyderabad-house-marathahalli-bangalore/order
326,BOX8 - Desi Meals,4.3,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",7706,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/box8-desi-meals-jayanagar-bangalore/order
327,Biryani Trip - Destination Hyderabad,4.2,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",2042,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-jp-nagar-bangalore/order
328,Great Indian Khichdi by EatFit,4.1,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",403,"Cunningham Road, Bangalore",77.5970428,12.9845781,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-cunningham-road-bangalore/order
329,Beijing Bites,3.8,"Chinese, Thai, Seafood, Healthy Food, Sichuan",5702,"Inorbit Mall, Whitefield, Bangalore",77.72891415,12.9792705,https://www.zomato.com/bangalore/beijing-bites-1-whitefield/order
330,FreshMenu,3.9,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",18400,"Richmond Road, Bangalore",77.6068229,12.9662452,https://www.zomato.com/bangalore/freshmenu-richmond-road/order
331,Srinidhi Veg Food Court,4,"South Indian, North Indian, Chinese, Fast Food, Street Food, Desserts, Beverages",5100,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/srinidhi-veg-food-court-kalyan-nagar-bangalore/order
332,Natural Ice Cream,4.6,"Ice Cream, Beverages",2157,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/natural-ice-cream-jayanagar/order
333,Anand Sweets and Savouries,4.1,"Mithai, Street Food, Beverages, Desserts",12300,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/anand-sweets-and-savouries-whitefield-bangalore/order
334,Kritunga Restaurant,3.8,"Andhra, South Indian, North Indian, Biryani, Chinese, Seafood",22500,"Brookefield, Bangalore",77.7168891,12.9668213,https://www.zomato.com/bangalore/kritunga-restaurant-1-brookefield/order
335,Spicy House,3.8,"North Indian, Chinese, Andhra, Biryani",12900,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/spicy-house-marathahalli/order
336,Chinese Wok,3.7,"Chinese, Momos, Sichuan",1209,"Hosur Road, Bangalore",77.6052566,12.9527111,https://www.zomato.com/bangalore/chinese-wok-hosur-road-bangalore/order
337,CakeZone,4.1,"Bakery, Ice Cream",2151,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/cakezone-koramangala-6th-block-bangalore/order
338,BOX8 - Desi Meals,4.1,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",22300,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/box8-desi-meals-hsr-bangalore/order
339,Kwality Wall’s Frozen Dessert and Ice Cream Shop,4.6,"Ice Cream, Desserts",268,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-sarjapur-road-bangalore/order
340,A2B - Adyar Ananda Bhavan,4,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",7302,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-hsr-bangalore/order
341,Imperial Restaurant,4.1,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Beverages",9700,"Koramangala 6th Block, Bangalore",77.6238477,12.9390255,https://www.zomato.com/bangalore/imperial-restaurant-koramangala-6th-block/order
342,EatFit,4.1,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages",26300,"Bommasandra, Bangalore",77.6916113,12.8162443,https://www.zomato.com/bangalore/eatfit-bommasandra-bangalore/order
343,Nandhana Palace,4.2,"Biryani, Andhra, North Indian, Chinese, Beverages, South Indian",3733,"Banashankari, Bangalore",77.59445195,12.96528325,https://www.zomato.com/bangalore/nandhana-palace-banashankari-bangalore/order
344,Wendy's,3.8,"Burger, Fast Food, American",16,"BTM, Bangalore",77.60456543,12.91127585,https://www.zomato.com/bangalore/wendys-btm-bangalore/order
345,KFC,3.5,"Burger, Fast Food, Biryani, Desserts, Beverages",2070,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/kfc-1-sarjapur-road-bangalore/order
346,Behrouz Biryani,4.2,"Biryani, Kebab, Hyderabadi, Lucknowi",1462,"Sarjapur Road, Bangalore",77.6653284,12.920441,https://www.zomato.com/bangalore/behrouz-biryani-sarjapur-road-bangalore/order
347,Lo! - Low Carb And Keto Foods,4.1,"Healthy Food, North Indian, Fast Food, Desserts",712,"Domlur, Bangalore",77.6381958,12.9624669,https://www.zomato.com/bangalore/lo-low-carb-and-keto-foods-domlur-bangalore/order
348,Pizza Hut,3.3,"Pizza, Fast Food, Desserts, Beverages",7394,"Ascendas Park Square, Whitefield, Bangalore",77.6381958,12.9624669,https://www.zomato.com/bangalore/pizza-hut-6-whitefield-bangalore/order
349,Onebite,3.9,"Fast Food, Pizza, Beverages",341,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/onebite-electronic-city-bangalore/order
350,Subway,4.1,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",8352,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/subway-electronic-city-bangalore/order
351,Amma's Pastries,4.2,Bakery,1152,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/ammas-pastries-hsr/order
352,Chai Point,4,"North Indian, Street Food, Rolls, Fast Food, Beverages, Desserts",17000,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/chai-point-1-hsr/order
353,Pizza Hut,3.7,"Pizza, Fast Food, Desserts, Beverages",9274,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/pizza-hut-1-electronic-city/order
354,McDonald's,3.9,"Burger, Fast Food, Beverages",9981,"Bangalore Central, Bellandur, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/mcdonalds-bellandur/order
355,Andhra Gunpowder,4.2,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",3675,"Banashankari, Bangalore",77.59445195,12.96528325,https://www.zomato.com/bangalore/andhra-gunpowder-banashankari-bangalore/order
356,Kritunga Restaurant,3.7,"Andhra, South Indian, North Indian, Biryani, Chinese, Seafood",21000,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/kritunga-restaurant-marathahalli/order
357,Subway,4,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",6358,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/subway-2-bannerghatta-road/order
358,Nagarjuna,4.3,"Andhra, Biryani, North Indian",1767,"Residency Road, Bangalore",77.6206061,13.0529476,https://www.zomato.com/bangalore/nagarjuna-residency-road/order
359,Chai Point,4.1,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee",1542,"Church Street, Bangalore",77.6026774,12.9755105,https://www.zomato.com/bangalore/chai-point-church-street-bangalore/order
360,Pizza Hut,3.4,"Pizza, Fast Food, Desserts, Beverages",3094,"Mantri Square, Malleshwaram, Bangalore",77.6026774,12.9755105,https://www.zomato.com/bangalore/pizza-hut-malleshwaram/order
361,KFC,3.9,"Burger, Fast Food, Biryani, Desserts, Beverages",1906,"New BEL Road, Bangalore",77.564105,13.0393922,https://www.zomato.com/bangalore/kfc-new-bel-road-bangalore/order
362,KFC,3.8,"Burger, Fast Food, Biryani, Desserts, Beverages",70,"Brigade Road, Bangalore",77.6074716,12.9736132,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order
363,Anand Sweets and Savouries,4.6,"Mithai, Street Food, Beverages, Desserts",1705,"Frazer Town, Bangalore",77.6130165,12.996845,https://www.zomato.com/bangalore/anand-sweets-and-savouries-1-frazer-town/order
364,EasyBites By Empire,4,"Burger, Fast Food, Beverages",1559,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/easybites-by-empire-jp-nagar-bangalore/order
365,Truffles,4.3,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",327,"Indiranagar, Bangalore",77.6404672,12.9732913,https://www.zomato.com/bangalore/truffles-indiranagar/order
366,Dindigul Thalappakatti,3.9,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",3715,"Electronic City, Bangalore",77.64825296,12.8487599,https://www.zomato.com/bangalore/dindigul-thalappakatti-1-electronic-city-bangalore/order
367,California Burrito,4.2,"Mexican, Fast Food, Beverages",7160,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/california-burrito-bannerghatta-road/order
368,Big Bowl Company,3.5,"North Indian, Chinese, Biryani, Fast Food, Momos, Sichuan",1118,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/big-bowl-company-whitefield-bangalore/order
