Restaurant_id,Name,Rating,cusines,delivery_review_number,location,Longitude,Latitude,Restaurant_link
100,Karnataka Donne Biryani,3.5,"Biryani, South Indian",352,"Whitefield, Bangalore",77.7497448,12.9696365,https://www.zomato.com/bangalore/karnataka-donne-biryani-1-whitefield-bangalore/order
101,Mani's Dum Biryani,4.2,"Biryani, Kebab",5898,"Koramangala 1st Block, Bangalore",77.6308832,12.9275886,https://www.zomato.com/manishsr/order
102,Empire Restaurant,3.8,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",50000,"Bannerghatta Road, Bangalore",77.6041899,12.9521804,https://www.zomato.com/bangalore/empire-restaurant-1-bannerghatta-road/order
103,Indori  Zaika,3.4,"North Indian, Fast Food, Street Food",6990,"HSR, Bangalore",77.6398674,12.9092342,https://www.zomato.com/bangalore/indori-zaika-hsr/order
104,Udupi Upahar,4,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages",3093,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/udupi-upahar-2-jp-nagar-bangalore/order
105,Sri Lakshmi Vaibhav,4.2,"South Indian, North Indian, Chinese, Street Food, Beverages, Desserts",6668,"Marathahalli, Bangalore",77.6984163,12.9552572,https://www.zomato.com/bangalore/sri-lakshmi-vaibhav-marathahalli-bangalore/order
106,Five Star Chicken,3.6,"Roast Chicken, Burger, Fast Food, Wraps",6599,"JP Nagar, Bangalore",77.5782713,12.9072515,https://www.zomato.com/bangalore/five-star-chicken-1-jp-nagar-bangalore/order
107,Delicacy,4,"Chinese, Thai, Sichuan",16700,"Kalyan Nagar, Bangalore",77.6403368,13.0221416,https://www.zomato.com/bangalore/delicacy-kalyan-nagar/order
108,Biryani Trip - Destination Hyderabad,4.3,"Biryani, Mughlai, Hyderabadi",128,"Jayanagar, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-jayanagar-bangalore/order
109,Nandhini Deluxe,4.1,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",2493,"St. Marks Road, Bangalore",77.5824229,12.9292731,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order
110,A2B - Adyar Ananda Bhavan,4.2,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",414,"Shanti Nagar, Bangalore",77.5979099,12.9575547,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order
